id,declarant1.nom,declarant1.nomNaissance,declarant1.prenoms,declarant1.dob,declarant2.nom,declarant2.nomNaissance,declarant2.prenoms,declarant2.dob,adress.ligne1,adress.ligne2,anneeImpots,anneeRevenus,dateRecouvrement,dateEtablissement,nombreParts,situationFamiliale,nombreDePersonneACharge,revenuBrutGlobal,revenuImposable,impotsNetAvantCorrections,impots,revenuFiscalReference,situationPartielle,erreurCorrectif
12+15,Martin,Martin,Pierre,22/03/1985,Martin,Honore,Marie,03/04/1986,12 rue Balzac,75008 Paris,2016,2015,10/10/2015,08/07/2015,2,Marié(e)s,2,29 880 €,29 880 €,2 165 €,2 165 €,29 880 €,,
1562456789521+1512456789521,Badul,Badul,Florent,10/12/1980,Baude,Baude,Marelene,10/12/1981,12 QUAI JOSEPH GILLET,69004 LYON,2016,2015,08/07/2015,10/10/2015,2.5,Marié(e)s,1,32 698 €,32 698 €,2 230 €,2 230 €,32 698 €,,
1572456789521+1522456789521,Beldanne,Beldanne,GUILLAUME,12/11/1980,,,,,12 RUE LITTRE,69009 LYON,2016,2015,07/09/2015,10/11/2015,2.5,Divorcé(e),2,43 596 €,43 596 €,3 425 €,3 425 €,43 596 €,,
1582456789521+1532456789521,Marouch,Marouch,DJAMEL,12/12/1980,Hamouche,Hamouche,DJAMILA,12/12/1981,12 RUE IMBERT COLOMES,69001 LYON,2016,2015,07/10/2015,10/12/2015,4,Marié(e)s,3,15 682 €,15 682 €,1 235 €,1 235 €,15 682 €,,
1592456789521+1542456789521,Feidhich,Feidhich,RACHID,13/12/1980,,,,,12 RUE LOUIS THEVENET,69004 LYON,2016,2015,10/10/2015,08/07/2015,4,Divorcé(e),4,12 358 €,12 358 €,585 €,585 €,12 358 €,,
1582453447825+1569055799793,Bamgera,Bamgera,NICOLAS,22/03/1985,Marin,Marin,Agathe,,42 RUE ANTOINE LUMIERE,69008 LYON,2016,2015,31/07/2015,15/07/2015,3,Marié(e)s,2,72 859 €,72 859 €,7 564 €,4 922 €,72 859 €,,
1582453557825+1569021358783,DJORN,DJORN,ROMAIN,14/08/1964,,,,,28 cours lafayette,69003 lyon,2016,2015,24/07/2015,16/08/2015,1.25,Célibataire,0.5,9 455 €,9 455 €,0 €,0 €,9 455 €,,
1566453667825+1569095453648,NOIR,NOIR,CHARLINE,22/01/1982,,,,,28 cours lafayette,69003 lyon,2016,2015,24/07/2015,16/07/2015,1.25,Célibataire,0.5,20 231 €,20 231 €,876 €,459 €,20 231 €,,
1593453567825+1569078912687,BANOL,BANOL,JULIEN,11/07/1980,,,,,41 rue du bon pasteur,69001 Lyon,2016,2015,13/07/2015,13/07/2015,2.5,Célibataire,2,24 963 €,24 963 €,429 €,0 €,24 963 €,,
1593453567825+1569038912682,KENDAL,KENDAL,MARJOLAINE,19/04/1980,,,,,41 rue du bon pasteur,69001 Lyon,2016,2015,13/07/2015,13/07/2015,2,Célibataire,1,13 409 €,13 409 €,0 €,0 €,13 409 €,,
1585389447825+1569055677895,RAFT,RAFT,GERALDINE,06/05/1979,,,,,102 MONTEE DE LA GRANDE COTE,69001 Lyon,2016,2015,13/07/2015,13/07/2015,2,Célibataire,1,10 250 €,10 250 €,0 €,0 €,10 250 €,,
1583845647825+1569099488956,CAITA,CAITA,EMMANUEL,12/05/1981,,,,,102 MONTEE DE LA GRANDE COTE,69001 Lyon,2016,2015,13/07/2015,13/07/2015,2,Célibataire,1,18 204 €,18 204 €,0 €,0 €,18 204 €,,
25+1625,Chabotte,Chabotte,Henri,16/02/1949,Chabotte,Allauge,Madeleine,03/06/1945,5 rue du Tacot,25660 Montrond-le-Château,2016,2015,13/07/2016,13/07/2016,2,Marié(e)s,0,16 550 €,16 550 €,0 €,0 €,16 550 €,,
1682453447251+1669051442251,Lévesque,Adrien,Emile,22/03/1985,Lévesque,Mailly,Liane,01/12/1973,3 Rue Jean Jaurès,25500 Morteau,2016,2015,10/10/2016,08/07/2016,2,Marié(e)s,2,18 410 €,18 410 €,2 165 €,2 165 €,18 410 €,,
